Date,Open,High,Low,Close,Adj Close,Volume
2020-05-06,49000.0,49200.0,48500.0,49200.0,45152.05859375,18070225
2020-05-07,49200.0,49300.0,48700.0,48800.0,44784.96484375,13884411
2020-05-08,49100.0,49350.0,48800.0,48800.0,44784.96484375,15319700
2020-05-11,48900.0,49250.0,48300.0,48400.0,44417.875,16357743
2020-05-12,48400.0,48500.0,47550.0,47900.0,43959.00390625,23433590
2020-05-13,47250.0,48550.0,47200.0,48550.0,44555.53515625,20223277
2020-05-14,47750.0,48100.0,47650.0,48000.0,44050.78515625,19305974
2020-05-15,48400.0,48450.0,47700.0,47850.0,43913.12109375,18463118
2020-05-18,47950.0,49100.0,47600.0,48800.0,44784.96484375,20481981
2020-05-19,50100.0,50500.0,49700.0,50300.0,46161.55078125,25168295
2020-05-20,50000.0,50200.0,49800.0,50000.0,45886.234375,14896899
2020-05-21,50300.0,50400.0,49850.0,49950.0,45840.34375,14949266
2020-05-22,49600.0,49800.0,48600.0,48750.0,44739.078125,19706284
2020-05-25,48750.0,48900.0,48450.0,48850.0,44830.84765625,14337913
2020-05-26,48700.0,49450.0,48600.0,49250.0,45197.9296875,15127490
2020-05-27,48950.0,50000.0,48800.0,49900.0,45794.4609375,19548479
2020-05-28,51100.0,51200.0,49900.0,50400.0,46253.3203125,31309318
2020-05-29,50000.0,50700.0,49700.0,50700.0,46528.640625,27596961
2020-06-01,50800.0,51200.0,50600.0,51200.0,46987.50390625,16949183
2020-06-02,51000.0,51500.0,50800.0,51400.0,47171.05078125,14247933
2020-06-03,51800.0,55000.0,51700.0,54500.0,50015.9921875,49257814
2020-06-04,55800.0,57000.0,54600.0,54600.0,50107.765625,40220334
2020-06-05,54400.0,55900.0,54000.0,55500.0,50933.71875,22743629
2020-06-08,56400.0,56500.0,54700.0,54900.0,50383.078125,25634965
2020-06-09,55800.0,56500.0,54400.0,55500.0,50933.71875,23998831
2020-06-10,55100.0,55900.0,54900.0,55400.0,50841.94140625,16742493
2020-06-11,54500.0,55100.0,53200.0,54300.0,49832.44921875,33815123
2020-06-12,52100.0,52800.0,51500.0,52300.0,47996.99609375,26976019
2020-06-15,51400.0,52000.0,49900.0,49900.0,45794.4609375,28772921
2020-06-16,51200.0,52100.0,50600.0,52100.0,47813.453125,21808375
2020-06-17,52100.0,52900.0,51300.0,52200.0,47905.22265625,26672595
2020-06-18,52200.0,52300.0,51600.0,52300.0,47996.99609375,15982926
2020-06-19,52600.0,52900.0,51600.0,52900.0,48547.6328125,18157985
2020-06-22,52000.0,52600.0,51800.0,52000.0,47721.67578125,13801350
2020-06-23,52500.0,52800.0,51100.0,51400.0,47171.05078125,18086152
2020-06-24,51900.0,53900.0,51600.0,52900.0,48547.6328125,24519552
2020-06-25,52100.0,53000.0,51900.0,51900.0,47629.91015625,18541624
2020-06-26,52800.0,53900.0,52200.0,53300.0,48914.72265625,21575360
2020-06-29,52500.0,53200.0,52000.0,52400.0,48410.296875,17776925
2020-06-30,53900.0,53900.0,52800.0,52800.0,48779.83203125,21157172
2020-07-01,53400.0,53600.0,52400.0,52600.0,48595.06640625,16706143
2020-07-02,52100.0,52900.0,52100.0,52900.0,48872.2265625,14142583
2020-07-03,53000.0,53600.0,52700.0,53600.0,49518.9296875,11887868
2020-07-06,54000.0,55000.0,53800.0,55000.0,50812.328125,19856623
2020-07-07,55800.0,55900.0,53400.0,53400.0,49334.15234375,30760032
2020-07-08,53600.0,53900.0,52900.0,53000.0,48964.60546875,19664652
2020-07-09,53200.0,53600.0,52800.0,52800.0,48779.83203125,17054850
2020-07-10,53100.0,53200.0,52300.0,52700.0,48687.44921875,13714746
2020-07-13,53300.0,53800.0,53100.0,53400.0,49334.15234375,12240188
2020-07-14,53700.0,53800.0,53200.0,53800.0,49703.69921875,14269484
2020-07-15,54400.0,55000.0,54300.0,54700.0,50535.171875,24051450
2020-07-16,54800.0,54800.0,53800.0,53800.0,49703.69921875,16779127
2020-07-17,54200.0,54700.0,54100.0,54400.0,50258.01171875,10096174
2020-07-20,54800.0,54800.0,54000.0,54200.0,50073.23828125,10507530
2020-07-21,55200.0,55400.0,54800.0,55300.0,51089.49609375,18297260
2020-07-22,55300.0,55500.0,54700.0,54700.0,50535.171875,12885057
2020-07-23,54700.0,54700.0,53800.0,54100.0,49980.859375,16214932
2020-07-24,54000.0,54400.0,53700.0,54200.0,50073.23828125,10994535
2020-07-27,54300.0,55700.0,54300.0,55600.0,51366.6484375,21054421
2020-07-28,57000.0,58800.0,56400.0,58600.0,54138.2265625,48431566
2020-07-29,60300.0,60400.0,58600.0,59000.0,54507.76953125,36476611
2020-07-30,59700.0,60100.0,59000.0,59000.0,54507.76953125,19285354
2020-07-31,59500.0,59600.0,57700.0,57900.0,53491.5234375,21943345
2020-08-03,57800.0,57900.0,56700.0,56800.0,52475.27734375,21158940
2020-08-04,57200.0,58100.0,57000.0,57300.0,52937.21484375,19419694
2020-08-05,57300.0,57500.0,56300.0,56900.0,52567.66796875,17739706
2020-08-06,57100.0,58400.0,57100.0,58000.0,53583.9140625,21625874
2020-08-07,57900.0,58400.0,57100.0,57500.0,53121.98046875,18751717
