사용년월,노선번호,노선명,역명,00시승차총승객수,00시하차총승객수,1시승차총승객수,1시하차총승객수,2시승차총승객수,2시하차총승객수,3시승차총승객수,3시하차총승객수,4시승차총승객수,4시하차총승객수,5시승차총승객수,5시하차총승객수,6시승차총승객수,6시하차총승객수,7시승차총승객수,7시하차총승객수,8시승차총승객수,8시하차총승객수,9시승차총승객수,9시하차총승객수,10시승차총승객수,10시하차총승객수,11시승차총승객수,11시하차총승객수,12시승차총승객수,12시하차총승객수,13시승차총승객수,13시하차총승객수,14시승차총승객수,14시하차총승객수,15시승차총승객수,15시하차총승객수,16시승차총승객수,16시하차총승객수,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,20시승차총승객수,20시하차총승객수,21시승차총승객수,21시하차총승객수,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수
202101,100,100번(하계동~용산구청),금호베스트빌앞,0,0,0,0,0,0,0,0,0,0,2,6,8,3,8,10,20,4,15,3,15,5,6,6,9,10,17,9,19,21,14,7,18,9,20,4,23,3,4,7,5,7,7,7,13,10,3,3
202101,100,100번(하계동~용산구청),서빙고역1번출구,0,0,0,0,0,0,0,0,0,0,24,44,66,31,81,23,85,22,71,35,48,47,57,17,50,49,76,41,52,46,66,55,65,62,102,123,92,111,65,89,47,99,64,93,24,25,15,6
202101,100,100번(하계동~용산구청),서빙고초등학교,0,0,0,0,0,0,0,0,0,0,1,6,0,24,1,12,1,1,2,7,2,2,1,3,4,6,1,10,3,20,3,16,5,23,7,11,3,24,2,20,2,14,4,7,10,3,7,0
202101,100,100번(하계동~용산구청),월곡뉴타운,0,0,0,0,0,0,0,0,139,197,148,275,56,258,86,377,168,538,112,420,106,287,147,277,113,270,122,367,122,352,137,344,165,342,181,388,128,343,183,175,124,153,77,159,26,89,3,3
202101,100,100번(하계동~용산구청),월곡뉴타운,127,24,4,1,0,0,0,0,0,0,0,0,23,11,168,14,305,43,248,49,184,60,237,55,279,86,271,85,329,136,341,136,387,141,414,155,553,220,387,143,464,112,343,115,233,38,134,35
202101,100,100번(하계동~용산구청),길음뉴타운,0,0,0,0,0,0,0,0,171,118,176,195,124,313,290,313,430,520,279,433,181,331,155,373,124,448,175,425,163,398,143,505,118,488,143,497,115,469,87,393,65,300,73,384,55,198,8,14
202101,100,100번(하계동~용산구청),길음뉴타운,61,57,1,4,0,0,0,0,0,0,0,0,87,29,196,13,450,43,287,51,274,57,321,71,439,101,416,138,364,157,399,203,437,198,449,264,627,365,481,242,407,189,468,242,263,117,125,62
202101,100,100번(하계동~용산구청),미아리고개.미아리예술극장,0,0,0,0,0,0,0,0,70,99,96,128,98,192,391,246,374,376,304,303,176,318,113,277,124,281,116,280,91,215,99,240,84,267,133,321,70,322,40,194,42,144,24,180,23,112,2,9
202101,100,100번(하계동~용산구청),미아리고개.미아리예술극장,20,39,0,2,0,0,0,0,0,0,0,0,90,10,156,20,245,35,188,52,194,26,166,67,267,82,166,80,218,126,229,154,303,170,225,191,229,347,181,302,131,212,141,282,69,129,36,40
202101,100,100번(하계동~용산구청),돈암사거리.성신여대입구,0,0,0,0,0,0,0,0,131,159,80,122,76,233,133,312,304,568,233,560,135,479,96,478,134,515,105,582,105,506,95,559,97,514,94,599,73,568,49,349,59,251,54,231,22,102,16,17
202101,100,100번(하계동~용산구청),돈암사거리.성신여대입구,150,65,5,1,0,0,0,0,0,0,0,0,67,24,177,31,290,62,205,50,194,62,286,72,455,114,444,150,616,174,721,241,658,241,782,291,1269,467,967,370,1045,320,1231,347,484,166,248,110
202101,100,100번(하계동~용산구청),삼선교.한성대학교,0,0,0,0,0,0,0,0,82,158,107,370,59,178,309,285,397,351,286,414,135,327,135,341,156,323,165,353,162,296,112,320,138,240,89,284,78,277,57,193,51,174,35,183,22,102,2,7
202101,100,100번(하계동~용산구청),삼선교.한성대학교.조소앙활동터,163,81,2,1,0,0,0,0,0,0,0,0,103,15,187,40,306,43,222,54,167,79,247,99,332,116,322,137,398,170,507,285,526,260,550,288,743,428,503,255,504,198,582,319,283,124,122,71
202101,100,100번(하계동~용산구청),숭곡초교입구,31,27,3,5,0,0,0,0,0,0,0,0,55,28,117,56,131,154,143,133,155,107,180,163,200,150,235,162,284,215,328,291,361,325,317,284,327,397,289,299,430,200,241,283,94,147,55,66
202101,100,100번(하계동~용산구청),창문여고,45,78,0,5,0,0,0,0,0,0,0,0,107,29,277,61,389,158,276,145,278,125,326,153,383,239,395,213,360,299,372,367,492,352,499,424,565,554,459,481,379,391,406,532,302,201,98,110
202101,100,100번(하계동~용산구청),동방고개,3,47,0,6,0,0,0,0,0,0,0,0,28,10,158,33,216,60,171,23,94,42,54,39,52,74,113,98,56,78,50,114,73,140,63,121,53,171,41,180,21,145,53,174,41,96,10,61
202101,100,100번(하계동~용산구청),장위동그린빌아파트,5,66,0,3,0,0,0,0,0,0,0,0,48,10,68,51,103,87,46,59,38,90,48,98,46,136,62,168,85,206,49,236,59,248,30,272,30,387,13,371,17,245,14,279,12,166,13,65
202101,100,100번(하계동~용산구청),북서울꿈의숲,19,91,3,8,0,0,0,0,0,0,0,0,71,38,330,83,324,228,252,126,195,153,219,211,198,317,278,322,270,355,267,434,288,409,315,420,220,543,169,525,160,480,148,496,97,334,25,161
202101,100,100번(하계동~용산구청),장월초등학교,16,96,2,12,0,0,0,0,0,0,0,0,113,44,508,139,734,222,408,153,271,137,310,201,338,238,371,267,336,305,380,404,281,504,300,508,315,656,157,772,150,614,133,659,68,400,56,136
202101,100,100번(하계동~용산구청),오현초등학교,0,0,0,0,0,0,0,0,825,34,302,141,411,134,641,173,754,346,629,119,472,169,450,228,474,244,496,297,459,321,423,404,389,386,378,410,301,628,205,530,176,379,192,497,73,243,0,0
202101,100,100번(하계동~용산구청),북서울꿈의숲,0,0,0,0,0,0,0,0,87,27,117,20,194,12,282,40,282,106,305,21,228,53,237,39,254,87,260,76,287,76,339,99,307,81,245,86,208,125,130,113,81,71,115,146,69,49,0,0
202101,100,100번(하계동~용산구청),송중동한일유엔아이,0,0,0,0,0,0,0,0,109,63,121,70,83,76,121,163,125,206,109,203,35,158,70,140,78,178,77,153,70,164,52,196,58,194,47,208,22,252,32,213,21,137,26,186,14,88,0,0
202101,100,100번(하계동~용산구청),창문여고앞,0,0,0,0,0,0,0,0,191,69,198,154,139,166,271,195,383,411,315,488,230,337,211,349,216,321,249,342,264,375,214,364,212,381,209,373,142,421,117,198,97,171,113,240,68,93,0,1
202101,100,100번(하계동~용산구청),숭곡초등학교입구,0,0,0,0,0,0,0,0,69,255,127,301,88,387,149,273,308,515,238,521,197,347,156,372,182,389,229,393,191,363,174,390,201,366,207,386,185,444,115,215,93,151,67,209,46,83,1,1
202101,100,100번(하계동~용산구청),꿈의숲주차장입구,0,0,0,0,0,0,0,0,79,9,64,17,195,48,186,52,221,70,202,57,239,50,166,101,197,108,211,149,206,96,176,119,153,150,223,148,146,197,56,178,68,124,89,183,59,67,0,0
202101,100,100번(하계동~용산구청),월계주공108동앞롯데캐슬루나아파트,0,0,0,0,0,0,0,0,319,42,271,68,418,46,575,108,898,232,671,142,485,111,447,129,406,180,415,153,364,176,423,240,370,255,342,257,298,381,200,377,150,268,77,279,76,116,0,0
202101,100,100번(하계동~용산구청),인덕대학,0,0,0,0,0,0,0,0,188,68,136,71,273,94,322,104,434,367,311,268,326,134,306,144,326,207,292,208,300,223,255,247,237,306,242,377,371,466,113,422,142,281,145,315,67,141,0,0
202101,100,100번(하계동~용산구청),롯데캐슬루나아파트,47,70,2,9,0,0,0,0,0,0,0,0,42,14,372,104,363,179,270,158,202,119,196,129,235,146,171,147,197,176,187,294,195,347,233,304,180,498,102,455,71,360,76,479,51,295,31,87
202101,100,100번(하계동~용산구청),인덕대앞,47,49,6,4,0,0,0,0,0,0,0,0,92,23,487,123,575,194,409,298,364,196,245,175,301,252,283,231,328,238,249,289,267,376,269,330,286,367,154,317,139,279,171,325,116,166,48,105
202101,100,100번(하계동~용산구청),월계헬스케어센터,0,0,0,0,0,0,0,0,206,69,155,28,222,27,231,71,335,229,269,107,291,117,278,120,356,178,289,120,351,142,305,163,318,188,299,167,337,257,172,217,175,146,241,155,58,70,0,0
202101,100,100번(하계동~용산구청),월계헬스케어센터,19,82,3,11,0,0,0,0,0,0,0,0,63,25,334,173,203,215,214,160,195,195,161,186,187,336,154,274,196,339,210,359,152,412,232,430,201,460,127,438,95,342,140,448,43,266,34,153
202101,100,100번(하계동~용산구청),롯데마트,11,43,4,30,0,0,0,0,0,0,0,0,0,9,6,76,39,77,5,117,10,122,25,106,35,149,33,164,27,176,47,183,47,181,47,154,123,201,81,201,134,123,94,129,7,107,7,48
202101,100,100번(하계동~용산구청),중계역,1,27,1,10,0,0,0,0,0,0,0,0,1,0,4,50,5,38,3,28,2,24,3,32,5,33,7,45,6,34,12,46,8,44,8,35,7,86,9,41,4,62,14,94,2,33,6,19
202101,100,100번(하계동~용산구청),중계역,0,0,0,0,0,0,0,0,131,18,22,1,112,5,101,1,61,1,78,1,37,2,42,3,72,4,64,5,31,7,39,7,32,5,67,9,59,6,36,7,19,6,20,11,8,2,0,0
202101,100,100번(하계동~용산구청),서울시립북서울미술관,0,0,0,0,0,0,0,0,66,66,3,0,58,0,49,0,23,2,30,2,16,1,48,0,57,3,55,0,55,2,81,7,72,5,60,5,62,4,43,1,25,0,71,5,15,0,0,0
202101,100,100번(하계동~용산구청),중계건영2차아파트,0,36,0,13,0,0,0,0,0,0,0,0,0,6,0,75,6,160,5,80,4,46,3,57,7,64,7,87,3,76,4,93,4,130,4,114,4,186,6,100,4,101,3,109,2,54,2,13
202101,100,100번(하계동~용산구청),중계역2번출구,0,0,0,0,0,0,0,0,115,21,51,1,132,24,154,3,306,23,203,12,135,15,203,28,158,25,138,29,167,26,133,26,151,43,141,38,216,42,169,39,77,29,89,32,35,8,0,0
202101,100,100번(하계동~용산구청),상명초등학교,13,37,0,6,0,0,0,0,0,0,0,0,1,1,35,43,35,61,26,49,17,24,22,33,12,35,22,43,21,44,33,43,23,74,20,74,14,63,7,34,8,35,8,48,14,38,3,16
